ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
92115,2570,1041,1130,9,9,9
92116,2861,1324,1464,9,9,9
92117,4466,2574,2224,9,9,9
92118,1847,898,1947,9,9,9
92120,2284,1406,2010,9,9,9
92122,3286,2147,2495,9,9,9
92123,2290,1218,1324,9,9,9
92124,2355,1220,1558,9,9,9
92126,6137,3611,2515,9,9,9
92127,3564,1940,5232,9,9,9
92128,4987,2455,3333,9,9,9
92129,3592,2837,4618,9,9,9
92130,3429,3056,7394,9,9,9
92131,2690,1610,3635,9,9,9
92139,2159,786,335,9,8,8
92154,3619,1597,817,9,9,8
92201,2582,965,600,9,9,8
92203,1814,1361,744,9,9,8
92211,1869,870,1324,9,9,9
92223,3894,1490,1058,9,9,9
92234,2233,748,847,9,8,9
92253,2764,1410,2221,9,9,9
92260,1917,1113,1203,9,9,9
92307,1869,955,711,9,9,8
92324,2433,812,424,9,9,8
92335,2925,743,422,9,8,8
92336,5909,2865,2667,9,9,9
92337,2392,954,431,9,9,8
92345,3120,769,432,9,8,8
92346,3136,1376,1405,9,9,9
92373,2136,994,1710,9,9,9
92374,2596,1024,1177,9,9,9
92376,2851,957,438,9,9,8
92392,2176,1292,554,9,9,8
92399,3263,1844,1162,9,9,9
92404,1982,676,342,9,8,8
92407,3122,1400,753,9,9,8
92503,4669,1556,1695,9,9,9
92504,2843,1066,874,9,9,9
92505,2377,1095,586,9,9,8
92506,3026,1996,2185,9,9,9
92507,1881,672,606,9,8,8
92508,2742,1705,1415,9,9,9
92509,3333,1229,859,9,9,9
92530,2235,865,463,9,9,8
92544,1955,709,516,9,8,8
92553,2192,619,266,9,8,7
92555,2460,1050,726,9,9,8
92557,2845,978,619,9,9,8
92562,3899,2710,2359,9,9,9
92563,4702,2017,2017,9,9,9
92570,1936,855,462,9,9,8
92571,2212,655,368,9,8,8
92584,3748,1779,1219,9,9,9
92591,2755,1409,1397,9,9,9
92592,5974,3279,3825,9,9,9
92595,2199,575,748,9,8,8
92596,2078,1247,885,9,9,9
92604,2069,1377,1802,9,9,9
92606,1956,1104,1649,9,9,9
92612,2360,1543,1864,9,9,9
92614,2243,1388,1655,9,9,9
92618,4035,2708,3610,9,9,9
92620,3724,2400,4711,9,9,9
92626,3807,2186,2436,9,9,9
92627,4354,1983,2648,9,9,9
92629,1955,1385,2570,9,9,9
92630,3845,2988,3389,9,9,9
92646,4568,2442,3449,9,9,9
92647,4494,2017,2547,9,9,9
92648,4001,1941,3525,9,9,9
92649,2842,1835,2515,9,9,9
92653,1884,1265,2182,9,9,9
92656,4512,3097,3432,9,9,9
92660,2485,1857,4549,9,9,9
92663,1832,912,2575,9,9,9
92672,2348,1313,2603,9,9,9
92673,1791,1554,3674,9,9,9
92675,2117,1386,2658,9,9,9
92677,4731,3118,5902,9,9,9
92679,1881,1808,4539,9,9,9
92683,4102,2461,2394,9,9,9
92688,3324,2761,3108,9,9,9
92691,3792,2933,3113,9,9,9
92692,3554,2657,3884,9,9,9
92703,2377,775,515,9,8,8
92704,3471,2030,962,9,9,9
92705,2716,1823,3463,9,9,9
92707,2899,1337,655,9,9,8
92708,3714,2021,2813,9,9,9
92780,3175,1555,1724,9,9,9
92801,2686,1263,634,9,9,8
92802,1825,871,383,9,9,8
92804,4109,1791,1390,9,9,9
92805,3602,1024,987,9,9,9
92806,2193,1275,605,9,9,8
92807,3010,1473,2496,9,9,9
92821,3093,1353,1826,9,9,9
92831,2056,1151,1102,9,9,9
92833,3151,1693,1772,9,9,9
92840,2868,1143,984,9,9,9
92867,2375,1436,2251,9,9,9
92869,2324,1788,2123,9,9,9
92870,3516,2399,2265,9,9,9
92879,2440,1186,895,9,9,9
92880,4024,2887,2656,9,9,9
92881,2319,1388,1632,9,9,9
92882,4454,2190,1989,9,9,9
92883,2887,1483,1607,9,9,9
92886,3436,2520,4273,9,9,9
93001,2004,823,835,9,9,9
93003,3805,1852,1857,9,9,9
93004,2533,1467,1023,9,9,9
93010,3243,1875,2338,9,9,9
93012,2807,1647,2468,9,9,9
93021,2592,1499,2614,9,9,9
93030,2709,1386,765,9,9,8
93033,2882,855,499,9,9,8
93035,2194,1396,995,9,9,9
93036,2501,1088,1097,9,9,9
93063,3993,2736,2407,9,9,9
93065,5331,3133,3644,9,9,9
93101,1905,807,1073,9,8,9
93105,1869,1157,2467,9,9,9
93117,3073,1358,1485,9,9,9
93230,3671,1274,1022,9,9,9
93257,2667,945,562,9,9,8
93274,3132,790,629,9,8,8
93277,2879,1087,756,9,9,8
93291,2424,1218,1376,9,9,9
93306,3093,1150,1063,9,9,9
93307,2235,188,243,9,7,7
93308,2025,780,539,9,8,8
93309,2753,867,744,9,9,8
93311,2840,2104,2140,9,9,9
93312,4615,2614,2239,9,9,9
93313,3242,1189,502,9,9,8
93314,2437,1327,1671,9,9,9
93401,1932,884,1550,9,9,9
93420,2239,1576,1222,9,9,9
93422,2356,1289,1108,9,9,9
93436,2483,1103,1094,9,9,9
93446,3176,1568,1260,9,9,9
93455,3607,1629,1434,9,9,9
93458,2257,446,273,9,8,7
93535,2365,588,502,9,8,8
93536,4223,2047,1806,9,9,9
93550,2211,725,319,9,8,8
93551,3516,1869,1758,9,9,9
93552,1870,295,261,9,7,7
93555,2323,1222,607,9,9,8
93561,2335,911,474,9,9,8
93611,3745,1966,1457,9,9,9
93619,3291,2248,2295,9,9,9
93637,2115,541,352,9,8,8
93711,2811,1412,1613,9,9,9
93720,3844,1878,2040,9,9,9
93722,3395,1289,1015,9,9,9
93727,3865,1378,1008,9,9,9
93906,2482,1291,887,9,9,9
93940,2619,1221,1839,9,9,9
93955,1815,714,570,9,8,8
94010,2615,1880,6300,9,9,9
94014,2693,1951,1623,9,9,9
94015,4307,2271,3175,9,9,9
94025,1813,1841,6170,9,9,9
94040,2375,2179,4747,9,9,9
94043,2303,1875,4231,9,9,9
94044,2744,2549,3051,9,9,9
94061,2413,1483,3844,9,9,9
94063,1873,906,1636,9,9,9
94066,3159,2170,2882,9,9,9
94080,4214,3120,4039,9,9,9
94086,3670,2840,6111,9,9,9
94087,3205,2668,7796,9,9,9
94102,1952,1240,2181,9,9,9
94103,2548,1370,3087,9,9,9
94107,2229,1668,6071,9,9,9
94109,4906,3650,7654,9,9,9
94110,4355,2970,9308,9,9,9
94112,4458,2641,3887,9,9,9
94114,2543,2286,6823,9,9,9
94115,2459,2014,5287,9,9,9
94116,3225,1875,4254,9,9,9
94117,2910,2862,7228,9,9,9
94118,3040,2389,5106,9,9,9
94121,2745,2630,3531,9,9,9
94122,4292,3462,5753,9,9,9
94123,2339,2052,5547,9,9,9
94131,2054,1826,4806,9,9,9
94134,2071,1114,1505,9,9,9
94303,2030,1555,3982,9,9,9
94401,2221,1339,2391,9,9,9
94403,3054,2070,5268,9,9,9
94404,2857,2154,5009,9,9,9
94501,4699,3285,4163,9,9,9
94509,3514,1446,1143,9,9,9
94510,2242,1562,2035,9,9,9
94513,4602,3137,3629,9,9,9
94518,2353,1300,1401,9,9,9
94520,2306,961,519,9,9,8
94521,3755,2029,2687,9,9,9
94523,3129,2065,2890,9,9,9
94526,2355,1509,4770,9,9,9
94530,2018,1508,2015,9,9,9
94531,3202,1821,1419,9,9,9
94533,4646,1915,1612,9,9,9
94534,3286,1875,2519,9,9,9
94536,5023,4425,5588,9,9,9
94538,5083,3551,4190,9,9,9
94539,2911,2760,7276,9,9,9
94541,4170,2106,1785,9,9,9
94544,5179,2020,1896,9,9,9
